,ano_campeonato,rodada,estadio,publico,publico_max,time_mandante,gols_mandante,time_visitante,gols_visitante,arbitro,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
2212,2016,13,Estádio Municipal Radialista Mário Helênio,5033,31863,Botafogo,2,Santa Cruz,1,Braulio da Silva Machado,,,,,,
2213,2016,17,Estádio Olímpico Nilton Santos,8477,46931,Botafogo,3,Palmeiras,1,Héber Lopes,,,,,,
2214,2016,19,Estádio Olímpico Nilton Santos,5199,46931,Botafogo,2,Grêmio,1,Wagner Reway,,,,,,
2215,2016,21,Estádio Municipal Radialista Mário Helênio,4771,31863,Botafogo,3,Sport Recife,0,Jean Pierre Goncalves Lima,,,,,,
2216,2016,23,Estádio Olímpico Nilton Santos,10156,46931,Botafogo,1,Fluminense,0,Rodolpho Toski Marques,,,,,,
2217,2016,28,Estádio Luso Brasileiro,9123,20000,Botafogo,2,Corinthians,0,Caio Max Augusto Vieira,,,,,,
2218,2016,30,Estádio Luso Brasileiro,10176,15000,Botafogo,1,Internacional,0,Marielson Alves Silva,,,,,,
2219,2016,31,Estádio Luso Brasileiro,14595,20000,Botafogo,3,Atlético-MG,2,Wagner Reway,,,,,,
2220,2016,33,Estádio Olímpico Nilton Santos,15170,46931,Botafogo,0,Coritiba FC,0,Luiz Flávio de Oliveira,,,,,,
2221,2016,37,Estádio Olímpico Nilton Santos,12069,46931,Botafogo,1,Ponte Preta,1,Wilton Sampaio,,,,,,
2222,2016,13,Estádio Governador Magalhães Pinto,43821,57483,Cruzeiro,2,EC Vitória,2,Péricles Bassols Pegado Cortez,,,,,,
2223,2016,14,Estádio Governador Magalhães Pinto,32042,57483,Cruzeiro,0,Atlético-PR,3,Anderson Daronco,,,,,,
2224,2016,22,Estádio Governador Magalhães Pinto,46591,57483,Cruzeiro,2,Santa Cruz,0,Sandro Ricci,,,,,,
2225,2016,24,Estádio Governador Magalhães Pinto,26611,57483,Cruzeiro,0,Botafogo,2,Rafael Traci,,,,,,
2226,2016,28,Estádio Governador Magalhães Pinto,16618,57483,Cruzeiro,1,Grêmio,0,Elmo Alves Resende Cunha,,,,,,
2227,2016,29,Estádio Governador Magalhães Pinto,15425,57483,Cruzeiro,2,Ponte Preta,0,Anderson Daronco,,,,,,
2228,2016,31,Estádio Governador Magalhães Pinto,14761,57483,Cruzeiro,0,Chapecoense,0,Luiz Flávio de Oliveira,,,,,,
